Generated summary,Human Summary
 green tea,hour 
 yummy,would like to give it stars but 
 great coffee,delicious 
 salt salt,tastes ok packaging 
 great price,turkey jerky is great 
 the best,my favorite salad dressing 
 not good,stale 
 great cat food,wonderful 
 my dogs love these,greenies buddy treat 
 great treats,dog loves them 
 great coffee,makes great cup of java 
 great training treat,love zuke mini naturals 
 delicious,protein bar 
 not decaf,not decaf 
 great cookies,cookie 
 great flavor,delicious but not the best 
 great coffee,hit or miss 
 great bread,really good gluten free bread 
 great snack,really good nice snack 
 horrible taste,please do not waste your money 
 my puppy loves these,healthy treats 
 good coffee,no flavor 
 rip off,water 
 yummy,new favorite 
 horrible taste,do not be by the price 
 good stuff,too expensive 
 great for,good value 
 good tea,caffeine is not 
 great product,excellent product for babies and toddler 
 dented cans,sometimes dented 
 great flavor,excellent love the blueberry pecan 
 great product,chew away 
 great plant,very nice office plant 
 my dog loves these,great dog treat 
 dogs love it,good for chewers 
 great tea,great price for great tea 
 my dog loves these,waste of money 
 delicious,fabulous product 
 great treat,dog lover 
 greenies,our dogs love greenies 
 good stuff,good stuff 
 not as advertised,wrong item 
 not bitter,disapointed 
 delicious,the yummy 
 great product,my dog loves it 
 great product,great to 
 great treats,buddy biscuits 
 great tea,green tea 
 the best,best taste 
 good,yummy tomatoes good packaging 
 great cookies,delicious 
 stale,baby loves it 
 too salty,no cheese flavor 
 great coffee,great morning coffee 
 great flavor,it made me fall 
 best coffee ever,single worst coffee ever 
 great snack,am addicted to these 
 great product,easy to use 
 great coffee,great coffee great price 
 refreshing,great taste all natural 
 good product,very good 
 great tea,decaffeinated french vanilla tea yummy 
 great taste,nice little pick me up 
 great product,excellent but 
 great coffee,wonderful coffee 
 good but not great,nice but pricey 
 great cookies,mouth watery cookies 
 great chips,pop chips are the best 
 hot cocoa,bold flavor 
 love these,perfect for in days 
 great,sun dried tomato bliss 
 great soup,soup chicken cheese 
 my dog loves these,strong smell and my puppy loves it 
 great snack,great purchase 
 great flavor,good wine 
 salt,over the top seasoning 
 great coffee,wolfgang puck coffee vanilla 
 not the best,edible have had much better 
 not bad,my favorite of the four tried 
 great snack,great snack 
 great price,love it 
 great for on the go,cannot get enough 
 great product,am an adult still love this 
 great tasting,you can eat ginger again 
 not for me,can for your 
 good product,wheat grass seeds 
 great product,fun like dust 
 great product,jumbo greenies good but very expensive 
 good but not great,very good but too pricey 
 great product,wonderful 
 just ok,better than regular 
 cats love it,need to know how many in case 
 great taste,great taste 
 great value,great tea 
 great taste,blue mayo 
 great flavor,love the gum and the price 
 great deal,divine 
 great cereal,yes to smart bran 
 great flavor,good stuff 
 great tasting,yummy 
